symbol,price
BTCUSDT,86907.07
WBTCUSDT,86787.09
PAXGUSDT,4127.54
YFIUSDT,4114.0
WBETHUSDT,3158.84
ETHUSDT,2920.42
MKRUSDT,1813.7
BETHUSDT,1556.27
BNBUSDT,854.4
BCHUSDT,520.7
ZECUSDT,497.64
YFIIUSDT,435.5
TAOUSDT,302.6
AAVEUSDT,176.45
BNSOLUSDT,148.0
SOLUSDT,136.71
GNOUSDT,130.79
XMRUSDT,118.7
BIFIUSDT,115.1
GIGGLEUSDT,108.68
AUTOUSDT,95.3
QNTUSDT,86.28
LTCUSDT,84.64
WNXMUSDT,73.26
BNBUPUSDT,61.8
DASHUSDT,55.97
COMPUSDT,29.83
DCRUSDT,22.36
TRBUSDT,21.01
FARMUSDT,20.37
BTGUSDT,17.65
DOTDOWNUSDT,16.737
BTCUPUSDT,16.6
KP3RUSDT,16.48
ETCUSDT,14.03
AVAXUSDT,14.02
OGUSDT,13.076
LINKUSDT,12.94
ZENUSDT,11.795
ETHUPUSDT,11.651
NMRUSDT,11.44
ENSUSDT,11.35
ALCXUSDT,9.42
PROMUSDT,9.326
GMXUSDT,8.82
KSMUSDT,8.62
ILVUSDT,7.87
EGLDUSDT,7.83
BANANAUSDT,7.54
ANTUSDT,7.407
METISUSDT,7.3
RNDRUSDT,7.03
TRUMPUSDT,6.195
UNIUSDT,6.106
INJUSDT,5.9
AUCTIONUSDT,5.53
BTCSTUSDT,5.35
MLNUSDT,5.14
REPUSDT,4.73
HNTUSDT,4.67
XVSUSDT,4.63
DEXEUSDT,4.598
ICPUSDT,4.307
NEOUSDT,4.281
ARUSDT,4.07
TORNUSDT,4.06
EULUSDT,4.047
LPTUSDT,4.033
ORDIUSDT,3.987
OMNIUSDT,3.88
SSVUSDT,3.805
MOVRUSDT,3.142
VANAUSDT,2.734
RPLUSDT,2.59
GALUSDT,2.542
PENDLEUSDT,2.45
ATOMUSDT,2.445
CAKEUSDT,2.392
DOTUSDT,2.264
APTUSDT,2.241
GASUSDT,2.188
XRPUSDT,2.1838
ERNUSDT,2.183
BONDUSDT,2.152
CREAMUSDT,2.1
SANTOSUSDT,1.976
NEARUSDT,1.883
FORTHUSDT,1.797
CVXUSDT,1.788
RENDERUSDT,1.782
BNXUSDT,1.7819
COCOSUSDT,1.7546
FILUSDT,1.634
QTUMUSDT,1.584
TONUSDT,1.55
MORPHOUSDT,1.509
SUIUSDT,1.4994
GNSUSDT,1.462
ASRUSDT,1.382
TOMOUSDT,1.3819
UNFIUSDT,1.341
ZROUSDT,1.309
0GUSDT,1.205
GBPUSDT,1.18
ASTERUSDT,1.158
EURUSDT,1.1571
EURIUSDT,1.1562
TRXDOWNUSDT,1.139
AEURUSDT,1.1352
AXSUSDT,1.127
RAYUSDT,1.118
TWTUSDT,1.0925
ORCAUSDT,1.084
WAVESUSDT,1.076
ORNUSDT,1.053
BERAUSDT,1.035
PORTOUSDT,1.034
LAZIOUSDT,1.033
XUSDUSDT,1.0003
BUSDUSDT,1.0003
USDCUSDT,1.0002
BFUSDUSDT,0.9998
USD1USDT,0.9994
USDEUSDT,0.9993
USDPUSDT,0.999
FDUSDUSDT,0.9971
TUSDUSDT,0.9968
BALUSDT,0.967
NEXOUSDT,0.966
PSGUSDT,0.92
ATMUSDT,0.919
VIRTUALUSDT,0.899
FRONTUSDT,0.88
FXSUSDT,0.871
XNOUSDT,0.865
MULTIUSDT,0.834
UMAUSDT,0.829
ENSOUSDT,0.798
CYBERUSDT,0.782
EOSUSDT,0.7799
BADGERUSDT,0.762
KAITOUSDT,0.7596
ETHFIUSDT,0.744
LITUSDT,0.743
BARDUSDT,0.7328
AUDUSDT,0.7252
RLCUSDT,0.724
FTMUSDT,0.6994
MASKUSDT,0.693
JUVUSDT,0.686
LDOUSDT,0.6635
RUNEUSDT,0.633
WLDUSDT,0.629
PYRUSDT,0.626
TIAUSDT,0.621
AGIXUSDT,0.6141
OCEANUSDT,0.6123
DEGOUSDT,0.604
FTTUSDT,0.6024
ALPINEUSDT,0.594
EIGENUSDT,0.586
CITYUSDT,0.586
EPICUSDT,0.585
BARUSDT,0.58
SNXUSDT,0.558
ACMUSDT,0.548
API3USDT,0.5383
XTZUSDT,0.503
JTOUSDT,0.503
ONDOUSDT,0.4979
MCUSDT,0.4861
PROVEUSDT,0.4753
YBUSDT,0.4648
BNTUSDT,0.4442
NXPCUSDT,0.4357
LQTYUSDT,0.43
ADAUSDT,0.4162
MTLUSDT,0.416
SUSHIUSDT,0.4159
CRVUSDT,0.4101
AVNTUSDT,0.3958
LAUSDT,0.3956
BANDUSDT,0.387
FORMUSDT,0.3869
OMGUSDT,0.383
MATICUSDT,0.3794
MEUSDT,0.369
THETAUSDT,0.365
DIAUSDT,0.3612
WIFUSDT,0.357
NEBLUSDT,0.355
METUSDT,0.341
PHBUSDT,0.336
RADUSDT,0.335
WINGUSDT,0.326
OPUSDT,0.3186
IMXUSDT,0.317
STXUSDT,0.3151
SFPUSDT,0.3122
POLSUSDT,0.3079
AVAUSDT,0.3058
MMTUSDT,0.3005
FIROUSDT,0.3
AGLDUSDT,0.295
SYRUPUSDT,0.2926
APEUSDT,0.2809
ENAUSDT,0.2776
SOMIUSDT,0.2773
TRXUSDT,0.2739
KNCUSDT,0.272
ARKUSDT,0.2715
ERAUSDT,0.2711
POLYUSDT,0.2696
FETUSDT,0.2691
GHSTUSDT,0.268
REDUSDT,0.2588
DYDXUSDT,0.2561
ALICEUSDT,0.2546
XLMUSDT,0.2495
CTKUSDT,0.2473
JUPUSDT,0.2471
PUNDIXUSDT,0.2463
HIGHUSDT,0.246
SRMUSDT,0.24442
ARKMUSDT,0.244
OPENUSDT,0.2428
PLAUSDT,0.2347
IOUSDT,0.234
FLOWUSDT,0.23
ELFUSDT,0.2272
LAYERUSDT,0.2255
GLMUSDT,0.2254
ALPACAUSDT,0.2244
ACEUSDT,0.219
DARUSDT,0.21707
HEIUSDT,0.2155
BATUSDT,0.2133
ARBUSDT,0.2127
XPLUSDT,0.2073
SUPERUSDT,0.2055
PIVXUSDT,0.2029
TRIBEUSDT,0.2018
AUSDT,0.2016
LISTAUSDT,0.195
1INCHUSDT,0.1878
RONINUSDT,0.1861
MIRAUSDT,0.1819
COWUSDT,0.1769
LSKUSDT,0.175
ALLOUSDT,0.1739
CELOUSDT,0.1732
MANAUSDT,0.1672
BELUSDT,0.1586
ZRXUSDT,0.1581
WLFIUSDT,0.1581
SANDUSDT,0.1572
TNSRUSDT,0.1549
STORJUSDT,0.1545
WALUSDT,0.1535
GTCUSDT,0.153
DOGEUSDT,0.15197
THEUSDT,0.1514
EDUUSDT,0.151
ZKCUSDT,0.15
TREEUSDT,0.1466
SCRTUSDT,0.1466
ALGOUSDT,0.1439
HBARUSDT,0.14277
MIRUSDT,0.14168
RESOLVUSDT,0.1389
STRKUSDT,0.1387
SEIUSDT,0.1356
HYPERUSDT,0.1351
POLUSDT,0.1339
LUMIAUSDT,0.133
AXLUSDT,0.1315
FFUSDT,0.1299
SAPIENUSDT,0.1282
HIFIUSDT,0.127
KLAYUSDT,0.1255
PERPUSDT,0.125
LOKAUSDT,0.1237
2ZUSDT,0.12297
ZBTUSDT,0.121
KAVAUSDT,0.12
MANTAUSDT,0.1198
STOUSDT,0.1179
FLUXUSDT,0.1172
IOTAUSDT,0.1171
NEWTUSDT,0.1168
WCTUSDT,0.1167
STGUSDT,0.1165
PARTIUSDT,0.1148
ADXUSDT,0.1125
VICUSDT,0.1119
DYMUSDT,0.1118
REQUSDT,0.1117
SUSDT,0.1105
MINAUSDT,0.1091
TKOUSDT,0.1065
MAGICUSDT,0.106
HIVEUSDT,0.1059
INITUSDT,0.1054
ADAUPUSDT,0.104
KITEUSDT,0.1008
ONGUSDT,0.0996
SCRUSDT,0.098
NILUSDT,0.0972
DOTUPUSDT,0.096
HOLOUSDT,0.0917
POWRUSDT,0.091
SXPUSDT,0.0908
YGGUSDT,0.0894
MITOUSDT,0.08907
KERNELUSDT,0.0884
SAGAUSDT,0.0872
PNUTUSDT,0.0871
XRPUPUSDT,0.0855
CUSDT,0.0825
OSMOUSDT,0.0821
CFXUSDT,0.0821
TURTLEUSDT,0.0811
KAIAUSDT,0.0807
IDUSDT,0.0806
SAHARAUSDT,0.08021
JOEUSDT,0.0779
PYTHUSDT,0.0767
EDENUSDT,0.0762
OMUSDT,0.0759
STEEMUSDT,0.0756
BBUSDT,0.0754
ONTUSDT,0.0731
LUNAUSDT,0.0726
WANUSDT,0.0706
STPTUSDT,0.07042
ICXUSDT,0.0685
SHELLUSDT,0.0664
POLYXUSDT,0.0663
BEAMUSDT,0.0652
AERGOUSDT,0.0635
CTXCUSDT,0.0634
SYNUSDT,0.0627
CATIUSDT,0.0625
MOBUSDT,0.0623
HAEDALUSDT,0.0608
ARDRUSDT,0.06021
BICOUSDT,0.0601
BIOUSDT,0.0597
ACXUSDT,0.0592
BLZUSDT,0.0582
CHRUSDT,0.058
KMNOUSDT,0.05726
LRCUSDT,0.0541
TVKUSDT,0.05405
DUSKUSDT,0.0539
COOKIEUSDT,0.0535
BAKEUSDT,0.0519
GRTUSDT,0.05122
MOVEUSDT,0.0504
AIUSDT,0.0504
AWEUSDT,0.04956
LOOMUSDT,0.04831
PHAUSDT,0.0482
AEVOUSDT,0.0482
DOLOUSDT,0.0478
CVCUSDT,0.0475
HOOKUSDT,0.0471
FISUSDT,0.0471
WUSDT,0.046
FIDAUSDT,0.0458
ETHDOWNUSDT,0.0457
AIXBTUSDT,0.0451
CTSIUSDT,0.0437
BANKUSDT,0.0433
RENUSDT,0.04274
SKYUSDT,0.04237
NTRNUSDT,0.0408
CHESSUSDT,0.04003
ZKUSDT,0.03978
CGPTUSDT,0.0397
SIGNUSDT,0.03917
BLURUSDT,0.03894
USUALUSDT,0.0386
TRXUPUSDT,0.03854
JSTUSDT,0.03833
HFTUSDT,0.0382
RIFUSDT,0.0378
MBOXUSDT,0.0377
PROSUSDT,0.0372
SXTUSDT,0.0368
OGNUSDT,0.0367
DNTUSDT,0.036
OAXUSDT,0.0358
PNTUSDT,0.035
MDXUSDT,0.0345
CVPUSDT,0.0339
AUDIOUSDT,0.0338
ENJUSDT,0.03348
MAVUSDT,0.03208
CETUSUSDT,0.0316
ANCUSDT,0.03151
SPKUSDT,0.031076
NFPUSDT,0.0308
VELODROMEUSDT,0.0305
OXTUSDT,0.0296
VOXELUSDT,0.0295
CLVUSDT,0.02937
BMTUSDT,0.029
CHZUSDT,0.02893
C98USDT,0.0287
GLMRUSDT,0.0281
COTIUSDT,0.02806
WOOUSDT,0.0279
COMBOUSDT,0.0276
SNTUSDT,0.0272
HOMEUSDT,0.02631
ASTUSDT,0.0261
HUMAUSDT,0.02609
HEMIUSDT,0.0259
NULSUSDT,0.0258
DREPUSDT,0.0256
RAREUSDT,0.0254
PLUMEUSDT,0.02501
DODOUSDT,0.0241
STRAXUSDT,0.02378
BIGTIMEUSDT,0.02342
SYSUSDT,0.02291
ATAUSDT,0.0225
ACTUSDT,0.0219
SUNUSDT,0.02081
TFUELUSDT,0.0208
SLFUSDT,0.0208
XAIUSDT,0.0206
BABYUSDT,0.01999
GMTUSDT,0.01899
PORTALUSDT,0.0181
VGXUSDT,0.018
WRXUSDT,0.0173
BURGERUSDT,0.0172
MUBARAKUSDT,0.01718
DUSDT,0.01691
SOLVUSDT,0.01676
FLMUSDT,0.0167
SOPHUSDT,0.0166
KMDUSDT,0.0163
UTKUSDT,0.01625
XEMUSDT,0.01596
TUTUSDT,0.01517
ROSEUSDT,0.01501
DFUSDT,0.015
BROCCOLI714USDT,0.01476
ARPAUSDT,0.01476
TSTUSDT,0.01466
NKNUSDT,0.0146
IDEXUSDT,0.01393
SKLUSDT,0.01378
ACAUSDT,0.0137
MDTUSDT,0.01362
ALTUSDT,0.01359
VETUSDT,0.01344
PIXELUSDT,0.01308
QUICKUSDT,0.01294
ASTRUSDT,0.01294
TRUUSDT,0.0127
GUNUSDT,0.01261
GTOUSDT,0.01233
NOMUSDT,0.01182
RDNTUSDT,0.01171
TUSDT,0.01152
BSWUSDT,0.0112
PENGUUSDT,0.011096
VANRYUSDT,0.0106
FIOUSDT,0.01048
LINEAUSDT,0.0104
WTCUSDT,0.0103
PEOPLEUSDT,0.01008
ACHUSDT,0.00979
PDAUSDT,0.00977
ALPHAUSDT,0.0097
WAXPUSDT,0.00955
HARDUSDT,0.0095
FUSDT,0.0095
AIONUSDT,0.00943
IOTXUSDT,0.00937
REIUSDT,0.00899
UFTUSDT,0.0089
TOWNSUSDT,0.00821
ANKRUSDT,0.00821
RVNUSDT,0.00803
GALAUSDT,0.00773
JASMYUSDT,0.00743
XVGUSDT,0.007348
REZUSDT,0.00701
DATAUSDT,0.00698
DGBUSDT,0.00674
GPSUSDT,0.00665
ANIMEUSDT,0.00649
LINKUPUSDT,0.00608
ZILUSDT,0.00606
KDAUSDT,0.006
USTCUSDT,0.00599
BTSUSDT,0.0054
GUSDT,0.00528
MFTUSDT,0.005254
IRISUSDT,0.00521
PONDUSDT,0.00487
PERLUSDT,0.0046
CELRUSDT,0.004592
STMXUSDT,0.004565
QKCUSDT,0.004396
ONEUSDT,0.00424
QIUSDT,0.00398
DOCKUSDT,0.0039
LTOUSDT,0.0038
BANANAS31USDT,0.003595
MITHUSDT,0.00345
RSRUSDT,0.003419
1000CATUSDT,0.00341
BEAMXUSDT,0.003345
A2ZUSDT,0.00317
TCTUSDT,0.00312
FORUSDT,0.00306
PUMPUSDT,0.002698
CKBUSDT,0.002573
NBTUSDT,0.00252
TLMUSDT,0.00248
AMPUSDT,0.002241
VIBUSDT,0.00223
BNBDOWNUSDT,0.002151
FUNUSDT,0.002019
IOSTUSDT,0.001977
GFTUSDT,0.00196
ADADOWNUSDT,0.001917
IQUSDT,0.001833
NBSUSDT,0.00166
SCUSDT,0.001636
COSUSDT,0.001559
TURBOUSDT,0.00151
MEMEUSDT,0.001291
KEYUSDT,0.001253
MBLUSDT,0.001226
BTCDOWNUSDT,0.001185
VIDTUSDT,0.00115
1000CHEEMSUSDT,0.001135
VTHOUSDT,0.001006
AKROUSDT,0.000981
SLPUSDT,0.000914
LINKDOWNUSDT,0.000895
VITEUSDT,0.00086
BOMEUSDT,0.000734
1MBABYDOGEUSDT,0.0007305
REEFUSDT,0.000688
NOTUSDT,0.000594
HOTUSDT,0.000558
BETAUSDT,0.00036
DENTUSDT,0.000353
LINAUSDT,0.000337
AMBUSDT,0.00032
SPELLUSDT,0.0002668
HMSTRUSDT,0.000254
LEVERUSDT,0.000175
NEIROUSDT,0.0001274
OOKIUSDT,0.000119
XRPDOWNUSDT,8.172e-05
TROYUSDT,6.9e-05
FLOKIUSDT,4.864e-05
DOGSUSDT,4.49e-05
WINUSDT,3.246e-05
LUNCUSDT,2.737e-05
EPXUSDT,1.94e-05
1000SATSUSDT,1.789e-05
XECUSDT,1.202e-05
BONKUSDT,9.61e-06
SHIBUSDT,8.58e-06
PEPEUSDT,4.5e-06
BTTCUSDT,4.2e-07
